"search-number","evaluation","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","num-replicates","best-fitness-so-far"
"1","10","90","97","-16","3","10","41359.979441117765"
"1","30","98","88","-10","-17","10","42583.155489021956"
"1","590","97","66","-22","24","10","43909.76506986029"
"1","1290","97","95","25","22","10","45292.46666666667"
"1","1760","100","94","-12","15","10","47031.18762475049"
